Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 СО юицазинредом в игьнед еынзеьрес;тюапутсыв; серьезные деньги в модернизацию ОС, ; выступают ;  ;со всякими бредовыми предложениями…  ;коллективный. Форум: 12 часов в день? Не могу согласиться с М. Прохоровым (2010-2011) ;коллективный ; ;Форум: 12 часов в день? Не могу согласиться с М. Прохоровым ;2010-2011 ;электронная коммуникация ,  нехудожественная ;блог ;бизнес, коммерция, экономика, финансы, право ; ;2010-2011 ;электронный текст ;омонимия снята; [shilo83, nick]   А всякие там Прохоровы, вместо того чтобы вкладывать серьезные деньги в модернизацию ОС, выступают со всякими бредовыми предложениями…  [коллективный. Форум: 12 часов в день? Не могу согласиться с М. Прохоровым (2010-2011)] [омонимия снята]
 отч мот о ушип отсач;юапутсыв; часто пишу о том, что ; выступаю ;  ;против курения.  ;коллективный. Форум: Всемирный день отказа от курения (2011) ;коллективный ; ;Форум: Всемирный день отказа от курения ;2011 ;электронная коммуникация ,  нехудожественная ;блог ;бизнес, коммерция, экономика, финансы, здоровье и медицина, администрация и управление ; ;2011 ;электронный текст ;омонимия снята; [tagan, nick]   Я часто пишу о том, что выступаю против курения.  [коллективный. Форум: Всемирный день отказа от курения (2011)] [омонимия снята]
 онвад Я ;юапутсыв;  [tagan, nick]   Я давно ; выступаю ;  ;за увеличение стоимости продажи сигарет ;коллективный. Форум: Всемирный день отказа от курения (2011) ;коллективный ; ;Форум: Всемирный день отказа от курения ;2011 ;электронная коммуникация ,  нехудожественная ;блог ;бизнес, коммерция, экономика, финансы, здоровье и медицина, администрация и управление ; ;2011 ;электронный текст ;омонимия снята; [tagan, nick]   Я давно выступаю за увеличение стоимости продажи сигарет и за строгое ограничение мест курения.  [коллективный. Форум: Всемирный день отказа от курения (2011)] [омонимия снята]
 лирук ен адгокин юрук ен;юапутсыв; не курю, никогда не курил, ; выступаю ;  ;за здоровый образ жизни и ;коллективный. Форум: Всемирный день отказа от курения (2011) ;коллективный ; ;Форум: Всемирный день отказа от курения ;2011 ;электронная коммуникация ,  нехудожественная ;блог ;бизнес, коммерция, экономика, финансы, здоровье и медицина, администрация и управление ; ;2011 ;электронный текст ;омонимия снята; [tagan, nick]   Поэтому считаю, что бороться надо на всех фронтах, в том числе и личными примерами – я, например, тоже не курю, никогда не курил, выступаю за здоровый образ жизни и всех к этому призываю.  [коллективный. Форум: Всемирный день отказа от курения (2011)] [омонимия снята]
 имикря и имынтиролок еенем еН;тюапутсыв; Не менее колоритными и яркими ; выступают ;  ;второплановые персонажи.  ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [elena str]   Не менее колоритными и яркими выступают второплановые персонажи.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 авожыР еогонм ыб аляретоп анитраконик;теапутсыв; кинокартина потеряла бы многое — Рыжова ; выступает ;  ;безгранично нежной, искренней, честной, в ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [elena str]   Они создали очень самобытных героев, без которых кинокартина потеряла бы многое — Рыжова выступает безгранично нежной, искренней, честной, в то время как Самохвалов полностью соответствует своей фамилии.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 йовокат евтсечак В ;илапутсыв;  В качестве таковой ; выступали ;  ;дети без ЗПР, посещавшие старшую ;Л. А. Захирина, Н. Ф. Бережная. Особенности развития старших дошкольников при перинатальной патологии ЦНС // «Вопросы психологии», 2004 ;Л. А. Захирина, Н. Ф. Бережная ; ;Особенности развития старших дошкольников при перинатальной патологии ЦНС ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, психология ;«Вопросы психологии» ;2004 ;журнал ;омонимия снята; В качестве таковой выступали дети без ЗПР, посещавшие старшую группу детского сада N 128 Санкт-Петербурга (17 человек).  [Л. А. Захирина, Н. Ф. Бережная. Особенности развития старших дошкольников при перинатальной патологии ЦНС // «Вопросы психологии», 2004] [омонимия снята]
 аткеорп яинасипо огондохси янвору огокосыв;тюапутсыв; высокого уровня исходного описания проекта ; выступают ;  ;язык VHDL и язык Verilog ;П. Н. Бибило. Логическое перепроектирование схем, реализованных на FPGA, в схемы на базовых матричных кристаллах // «Информационные технологии», 2004 ;П. Н. Бибило ; ;Логическое перепроектирование схем, реализованных на FPGA, в схемы на базовых матричных кристаллах ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; В качестве языков высокого уровня исходного описания проекта выступают язык VHDL и язык Verilog.  [П. Н. Бибило. Логическое перепроектирование схем, реализованных на FPGA, в схемы на базовых матричных кристаллах // «Информационные технологии», 2004] [омонимия снята]
 яинасипо огондохси итямап вотнемелэ евтсечак;тюапутсыв; качестве элементов памяти исходного описания ; выступают ;  ;триггеры из библиотеки БМК.  ;П. Н. Бибило. Логическое перепроектирование схем, реализованных на FPGA, в схемы на базовых матричных кристаллах // «Информационные технологии», 2004 ;П. Н. Бибило ; ;Логическое перепроектирование схем, реализованных на FPGA, в схемы на базовых матричных кристаллах ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; Комбинационная логика задаётся произвольным образом, однако в качестве элементов памяти исходного описания выступают триггеры из библиотеки БМК.  [П. Н. Бибило. Логическое перепроектирование схем, реализованных на FPGA, в схемы на базовых матричных кристаллах // «Информационные технологии», 2004] [омонимия снята]
 инзиж йончуан в ьтавовтсачу лажлодорп;лапутсыв; продолжал участвовать в научной жизни, ; выступал ;  ;с докладами, писал книги.  ;Наталья Дубова. Орбита Лаврова // «Computerworld», 2004 ;Наталья Дубова ; ;Орбита Лаврова ;2004 ;публицистика, нехудожественная ;статья ;наука и технологии, информатика ;«Computerworld» ;2004 ;журнал ;омонимия снята; Несмотря на возраст, он продолжал участвовать в научной жизни, выступал с докладами, писал книги.  [Наталья Дубова. Орбита Лаврова // «Computerworld», 2004] [омонимия снята]
 тугом ииголотно мотэ ирП ;ьтапутсыв;  При этом онтологии могут ; выступать ;  ;и в качестве единого «канонического ;С. Г. Керимов. Интеллектуальный поиск информации, основанный на онтологии // «Информационные технологии», 2004 ;С. Г. Керимов ; ;Интеллектуальный поиск информации, основанный на онтологии ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; При этом онтологии могут выступать и в качестве единого «канонического» описания, помогающего решить проблему несовместимости и противоречивости понятий, используемых для извлечения информации из больших массивов знаний [1].  [С. Г. Керимов. Интеллектуальный поиск информации, основанный на онтологии // «Информационные технологии», 2004] [омонимия снята]
