Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 хин аз отч умотоП ;теарги;  [AleksandrNobody]   -Потому что за них ; играет ;  ;Микки Мэнтл.  ;коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011) ;коллективный ; ;Форум: Рецензия на фильм «Поймай меня, если сможешь» ;2006-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2011 ;электронный текст ;омонимия снята; [AleksandrNobody]   -Потому что за них играет Микки Мэнтл.  [коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011)] [омонимия снята]
 ;теаргИ;  [Badmaestro, муж]   ; Играет ;  ;он по-прежнему хорошо, хоть и ;коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011) ;коллективный ; ;Форум: Рецензия на фильм «Поймай меня, если сможешь» ;2006-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2011 ;электронный текст ;омонимия снята; [Badmaestro, муж]   Играет он по-прежнему хорошо, хоть и немного потолстел.  [коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011)] [омонимия снята]
 ;тюаргИ;  [HappyLORD, муж]   ; Играют ;  ;отлично, особенно Хэнкс, что поначалу ;коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011) ;коллективный ; ;Форум: Рецензия на фильм «Поймай меня, если сможешь» ;2006-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2011 ;электронный текст ;омонимия снята; [HappyLORD, муж]   Играют отлично, особенно Хэнкс, что поначалу показался мне очень невзрачным, но в процессе фильма он раскрыл своего персонажа, показал всю эту его противоречивость, одиночество, привязанность к своему «постоянному преступнику».  [коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011)] [омонимия снята]
 хамьлиф хесв ов оирпаК иД;теарги; Ди Каприо во всех фильмах ; играет ;  ;хорошо, уже раз десять доказал ;коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011) ;коллективный ; ;Форум: Рецензия на фильм «Поймай меня, если сможешь» ;2006-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2011 ;электронный текст ;омонимия снята; [HappyLORD, муж]   Ди Каприо во всех фильмах играет хорошо, уже раз десять доказал, что он не смазливый герой девочек-подростков из «Титаника», а настоящий, серьезный актер.  [коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011)] [омонимия снята]
  ьлетазакоп ежу отч илаворинимон араксО;теаргИ; Оскара номинировали, что уже показатель!   ; Играет ;  ;на уровне!   Порадовало присутствие Мартина ;коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011) ;коллективный ; ;Форум: Рецензия на фильм «Поймай меня, если сможешь» ;2006-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2011 ;электронный текст ;омонимия снята; [HappyLORD, муж]   Кристоферу Уокену даже Глобус дали и на Оскара номинировали, что уже показатель!   Играет на уровне!   Порадовало присутствие Мартина Шина, уж очень он яркий актер.  [коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011)] [омонимия снята]
 апит халед ирп ен как;теарги; как не при делах, типа ; играет ;  ;потому, что друг попросил.  ;коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011) ;коллективный ; ;Форум: Рецензия на фильм «Поймай меня, если сможешь» ;2006-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2011 ;электронный текст ;омонимия снята; [Helter-skelter]   Не буду никому противоречить, фильм действительно ужасен, скучен, предсказуем до безобразия, ДиКаприо здесь как-то особенно раздражителен, Том Хэнкс как не при делах, типа играет потому, что друг попросил.  [коллективный. Форум: Рецензия на фильм «Поймай меня, если сможешь» (2006-2011)] [омонимия снята]
 инзиж йовисарк идар ыб ьсалисалгос;ьтарги; согласилась бы ради красивой жизни ; играть ;  ;роль второй скрипки?  ;коллективный. Форум: комментарии к фильму «Все будет хорошо» (2008-2011) ;коллективный ; ;Форум: комментарии к фильму «Все будет хорошо» ;2008-2011 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2008-2011 ;электронный текст ;омонимия снята; [Kunts, муж]   Или бы, зная о его любовных похождениях, согласилась бы ради красивой жизни играть роль второй скрипки?  [коллективный. Форум: комментарии к фильму «Все будет хорошо» (2008-2011)] [омонимия снята]
 ондурт ьнечо отЭ ;ьтарги;  [htreirf, nick]   Это очень трудно ; играть ;,  ;таким надо быть!  ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [htreirf, nick]   Это очень трудно играть, таким надо быть!  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 нилпаЧ илраЧ и арелтиГ А;ларги; А Гитлера и Чарли Чаплин ; играл ;,  ;может, и его форму рассмотрим ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [htreirf, nick]   А Гитлера и Чарли Чаплин играл, может, и его форму рассмотрим детально?  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 а йинакселпокур тёдж ен йыроток;теарги; который не ждёт рукоплесканий, а ; играет ;  ;исключительно потому, что видит большую ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [Zmey-Aspid, nick]   Статуи актёра, который не ждёт рукоплесканий, а играет исключительно потому, что видит большую и праведную цель.  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
