Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 йороток ыцьлап угон ляндоп я;илачрот; я поднял ногу, пальцы которой ; торчали ;  ;из сгоревшей колготины, и вручил ;коллективный. Форум: Похороните меня за плинтусом. Фильм (2009-2011) ;коллективный ; ;Форум: Похороните меня за плинтусом. Фильм ;2009-2011 ;электронная коммуникация ,  нехудожественная ;форум ;искусство и культура ; ;2009-2011 ;электронный текст ;омонимия снята; [Rud, nick]   Надев колготки до конца, я поднял ногу, пальцы которой торчали из сгоревшей колготины, и вручил ее бабушке.  [коллективный. Форум: Похороните меня за плинтусом. Фильм (2009-2011)] [омонимия снята]
 и теазелыв адгесв оньлетазябо от-отч;тичрот; что-то обязательно всегда вылезает и ; торчит ;…  ; ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята; Но что-то обязательно всегда вылезает и торчит…  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 икинжородонзележ оТ ;тачрот;  То железнодорожники ; торчат ;,  ;"то ""хочу в Грузию"" торчит ";Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;" То железнодорожники торчат, то ""хочу в Грузию"" торчит, то руки, то ноги, то мозг… или какая-нибудь печень.  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]"
 ен сав зи огечин И;тичрот; И ничего из вас не ; торчит ;,  ;ни железнодорожники, ни самолёты, ни ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;" Хорошо……… И ничего из вас не торчит, ни железнодорожники, ни самолёты, ни ""хочется в Грузию""…  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]"
 ен отсорп он ьсолед ен;тичрот; не делось, но просто не ; торчит ;.  ; ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята; Оно, конечно, никуда не делось, но просто не торчит.  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 идург зи мыннагупси олыб ынищнеж;алачрот; женщины было испуганным, из груди ; торчала ;  ;красная стрела, а над головой ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята; Лицо женщины было испуганным, из груди торчала красная стрела, а над головой женщины, в небе, летал голый маленький мальчик с крылышками, с луком в руках, и специальными чёрточками было нарисовано, что тетива на луке дрожит.  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 ен янем зи адгоК ;тачрот;   Когда из меня не ; торчат ;  ;железнодорожники, солдаты, самолёты и те ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;  Когда из меня не торчат железнодорожники, солдаты, самолёты и те шнурки,… я иногда отчётливо слышу их голоса, они поют у меня в голове… для Меня.  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 аварт веьтсил зеб яьверед ымлох;тичрот; холмы, деревья без листьев, трава ; торчит ;  ;из снега, домики…  ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;  А на картине нарисовано…, мы видим канал, покрытый льдом, какие-то холмы, деревья без листьев, трава торчит из снега, домики…  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 зи момыд ьсолавикаловаз олед и;хищачрот; и дело заволакивалось дымом― из ; торчащих ;  ;"тут и там ""артезианских скважин ";Темные силы против Масленицы // «Народное творчество», 2004 ; ; ;Темные силы против Масленицы ;2004 ;публицистика, нехудожественная ;отзыв ;искусство и культура ;«Народное творчество» ;2004 ;журнал ;омонимия снята;" При этом поле битвы то и дело заволакивалось дымом― из торчащих тут и там ""артезианских скважин"" время от времени вырывались языки пламени, как будто глубоко под землёй сидел Змей Горыныч и своими выдохами морально поддерживал коллег по пакостям.  [Темные силы против Масленицы // «Народное творчество», 2004] [омонимия снята]"
 еыннапысазулоп аксеп зИ ;илачрот;  Из песка, полузасыпанные, ; торчали ;  ;остовы разбитых кораблей.  ;Александр Дорофеев. Эле-Фантик // «Мурзилка», 2003 ;Александр Дорофеев ; ;Эле-Фантик ;2003 ;художественная ;рассказ ; ;«Мурзилка» ;2003 ;журнал ;омонимия снята; Из песка, полузасыпанные, торчали остовы разбитых кораблей.  [Александр Дорофеев. Эле-Фантик // «Мурзилка», 2003] [омонимия снята]
 тобох окьлот мас но йокчытаз;тичрот; затычкой он сам, только хобот ; торчит ;.  ; ;Александр Дорофеев. Эле-Фантик // «Мурзилка», 2003 ;Александр Дорофеев ; ;Эле-Фантик ;2003 ;художественная ;рассказ ; ;«Мурзилка» ;2003 ;журнал ;омонимия снята; Слонёнок усмехнулся, представив огромный бочонок, где затычкой он сам, только хобот торчит.  [Александр Дорофеев. Эле-Фантик // «Мурзилка», 2003] [омонимия снята]
 оннартс и хашу в ахем;имищачрот; меха в ушах и странно ; торчащими ;,  ;как у лошади, ушами.  ;Сергей Козлов. Как Ёжик с Медвежонком спасли Волка // «Мурзилка», 2003 ;Сергей Козлов ;1939 ;Как Ёжик с Медвежонком спасли Волка ;2003 ;художественная ;сказка ; ;«Мурзилка» ;2003 ;журнал ;омонимия снята;  Из воды на Волка глянул хмурый седой Волк с пучками меха в ушах и странно торчащими, как у лошади, ушами.  [Сергей Козлов. Как Ёжик с Медвежонком спасли Волка // «Мурзилка», 2003] [омонимия снята]
 икур индО  ьтагаш меч дёрепВ;тачрот; Вперёд чем шагать?  Одни руки ; торчат ;!  ; Множество рук.  ;Ф. Неверов. В защиту правительства (2003) // «Советская Россия», 2003.04.24 ;Ф. Неверов ; ;В защиту правительства ;2003 ;публицистика, нехудожественная ;памфлет ;политика и общественная жизнь ;«Советская Россия» ;2003.04.24 ;газета ;омонимия снята; Вперёд чем шагать?  Одни руки торчат!  Множество рук.  [Ф. Неверов. В защиту правительства (2003) // «Советская Россия», 2003.04.24] [омонимия снята]
 мин с модяр латсу ежу;ьтачрот; уже устал рядом с ним ; торчать ;.  ; ;АвтоБайка. База, это семнадцатый... (2003) // «Марийская правда» (Йошкар-Ола), 2003.01.14 ; ; ;АвтоБайка. База, это семнадцатый... ;2003 ;публицистика, нехудожественная ;заметка ;частная жизнь ;«Марийская правда» (Йошкар-Ола) ;2003.01.14 ;газета ;омонимия снята; Я уже устал рядом с ним торчать.  [АвтоБайка. База, это семнадцатый... (2003) // «Марийская правда» (Йошкар-Ола), 2003.01.14] [омонимия снята]
 икпож огеч А лазакс гурдв;тачрот;" вдруг сказал: ""А чего жопки "; торчат ;  ;на 2 сантиметра из земли ;Что там зреет на селе? (2003) // «Аргументы и факты», 2003.07.23 ; ; ;Что там зреет на селе? ;2003 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь ;«Аргументы и факты» ;2003.07.23 ;газета ;омонимия снята;" На морковном поле он вдруг сказал: ""А чего жопки торчат на 2 сантиметра из земли?""  [Что там зреет на селе? (2003) // «Аргументы и факты», 2003.07.23] [омонимия снята]"
